dates_date,freq
200810 (Oct-08),m
200811 (Nov-08),m
200812 (Dec-08),m
200901 (Jan-09),m
200902 (Feb-09),m
200903 (Mar-09),m
200904 (Apr-09),m
200905 (May-09),m
200906 (Jun-09),m
200907 (Jul-09),m
200908 (Aug-09),m
200909 (Sep-09),m
200910 (Oct-09),m
200911 (Nov-09),m
200912 (Dec-09),m
201001 (Jan-10),m
201002 (Feb-10),m
201003 (Mar-10),m
201004 (Apr-10),m
201005 (May-10),m
201006 (Jun-10),m
201007 (Jul-10),m
201008 (Aug-10),m
201009 (Sep-10),m
201010 (Oct-10),m
201011 (Nov-10),m
201012 (Dec-10),m
201101 (Jan-11),m
201102 (Feb-11),m
201103 (Mar-11),m
201104 (Apr-11),m
201105 (May-11),m
201106 (Jun-11),m
201107 (Jul-11),m
201108 (Aug-11),m
201109 (Sep-11),m
201110 (Oct-11),m
201111 (Nov-11),m
201112 (Dec-11),m
201201 (Jan-12),m
201202 (Feb-12),m
201203 (Mar-12),m
201204 (Apr-12),m
201205 (May-12),m
201206 (Jun-12),m
201207 (Jul-12),m
201208 (Aug-12),m
201209 (Sep-12),m
201210 (Oct-12),m
201211 (Nov-12),m
201212 (Dec-12),m
201301 (Jan-13),m
201302 (Feb-13),m
201303 (Mar-13),m
201304 (Apr-13),m
201305 (May-13),m
201306 (Jun-13),m
201307 (Jul-13),m
201308 (Aug-13),m
201309 (Sep-13),m
201310 (Oct-13),m
201311 (Nov-13),m
201312 (Dec-13),m
201401 (Jan-14),m
201402 (Feb-14),m
201403 (Mar-14),m
201404 (Apr-14),m
201405 (May-14),m
201406 (Jun-14),m
201407 (Jul-14),m
201408 (Aug-14),m
201409 (Sep-14),m
201410 (Oct-14),m
201411 (Nov-14),m
201412 (Dec-14),m
201501 (Jan-15),m
201502 (Feb-15),m
201503 (Mar-15),m
201504 (Apr-15),m
201505 (May-15),m
201506 (Jun-15),m
201507 (Jul-15),m
201508 (Aug-15),m
201509 (Sep-15),m
201510 (Oct-15),m
201511 (Nov-15),m
201512 (Dec-15),m
201601 (Jan-16),m
201602 (Feb-16),m
201603 (Mar-16),m
201604 (Apr-16),m
201605 (May-16),m
201606 (Jun-16),m
201607 (Jul-16),m
201608 (Aug-16),m
201609 (Sep-16),m
201610 (Oct-16),m
201611 (Nov-16),m
201612 (Dec-16),m
201701 (Jan-17),m
201702 (Feb-17),m
201703 (Mar-17),m
201704 (Apr-17),m
201705 (May-17),m
201706 (Jun-17),m
201707 (Jul-17),m
201708 (Aug-17),m
201709 (Sep-17),m
201710 (Oct-17),m
201711 (Nov-17),m
201712 (Dec-17),m
201801 (Jan-18),m
201802 (Feb-18),m
201803 (Mar-18),m
201804 (Apr-18),m
201805 (May-18),m
201806 (Jun-18),m
201807 (Jul-18),m
201808 (Aug-18),m
201809 (Sep-18),m
201810 (Oct-18),m
201811 (Nov-18),m
201812 (Dec-18),m
201901 (Jan-19),m
201902 (Feb-19),m
201903 (Mar-19),m
201904 (Apr-19),m
201905 (May-19),m
201906 (Jun-19),m
201907 (Jul-19),m
201908 (Aug-19),m
201909 (Sep-19),m
201910 (Oct-19),m
201911 (Nov-19),m
201912 (Dec-19),m
202001 (Jan-20),m
202002 (Feb-20),m
202003 (Mar-20),m
202004 (Apr-20),m
202005 (May-20),m
202006 (Jun-20),m
202007 (Jul-20),m
202008 (Aug-20),m
202009 (Sep-20),m
202010 (Oct-20),m
202011 (Nov-20),m
202012 (Dec-20),m
202101 (Jan-21),m
202102 (Feb-21),m
202103 (Mar-21),m
202104 (Apr-21),m
202105 (May-21),m
202106 (Jun-21),m
202107 (Jul-21),m
202108 (Aug-21),m
202109 (Sep-21),m
202110 (Oct-21),m
202111 (Nov-21),m
202112 (Dec-21),m
202201 (Jan-22),m
202202 (Feb-22),m
202203 (Mar-22),m
202204 (Apr-22),m
