geography_code,Number of persons,number_of_children,pensioners,working_age
E05001115,10694.0,,,
E05001116,10206.0,,,
E05001117,10562.0,,,
E05001118,11954.0,,,
E05001119,11288.0,,,
E05001120,9413.0,,,
E05001121,11258.0,,,
E05001122,11202.0,,,
E05001123,11476.0,,,
E05001124,9169.0,,,
E05001125,9741.0,,,
E05001126,8929.0,,,
E05001127,8186.0,,,
E05001128,12182.0,,,
E05001129,8762.0,,,
E05001130,10332.0,,,
E05001131,13263.0,,,
E05001132,10811.0,,,
E05001133,9994.0,,,
E05001134,9449.0,,,
E05009093,10141.0,,,
E05009094,5351.0,,,
E05009095,4113.0,,,
E05009096,4982.0,,,
E05009097,4472.0,,,
E05009098,5333.0,,,
E05009099,4684.0,,,
E05009100,4530.0,,,
E05009101,3877.0,,,
E05009102,4844.0,,,
E05009103,4576.0,,,
E05009104,4217.0,,,
E05009106,4630.0,,,
E05009107,4627.0,,,
E05009108,5020.0,,,
E05009109,4239.0,,,
E05009110,4580.0,,,
E05009111,4363.0,,,
E05009112,5168.0,,,
E05009113,4863.0,,,
E05009114,4508.0,,,
E05009115,4341.0,,,
E05009116,6194.0,,,
E05009117,4713.0,,,
E05009118,6546.0,,,
E05009119,4810.0,,,
E05009120,4872.0,,,
E05009121,4362.0,,,
E05009122,4515.0,,,
E05009123,4534.0,,,
E05009124,4657.0,,,
E05009125,3846.0,,,
E05009126,5535.0,,,
E05009127,5023.0,,,
E05009128,4360.0,,,
E05009129,4766.0,,,
E05009130,6752.0,,,
E05009131,4328.0,,,
E05009132,4610.0,,,
E05009133,4500.0,,,
E05009134,5494.0,,,
E05009135,4934.0,,,
E05009136,4860.0,,,
E05009137,4490.0,,,
E05009139,4186.0,,,
E05009141,3762.0,,,
E05009142,4806.0,,,
E05009143,5013.0,,,
E05009144,4352.0,,,
E05009145,4215.0,,,
E05009146,5375.0,,,
E05009147,5713.0,,,
E05009148,4962.0,,,
E05009149,5470.0,,,
E05009151,5157.0,,,
E05009152,4336.0,,,
E05009153,5274.0,,,
E05009154,4917.0,,,
E05009155,4503.0,,,
E05009156,4873.0,,,
E05009157,4865.0,,,
E05009158,4497.0,,,
E05011436,15639.0,,,
E05011437,12503.0,,,
E05011438,10809.0,,,
E05011439,11767.0,,,
E05011440,9976.0,,,
E05011441,12441.0,,,
E05011442,8877.0,,,
E05011443,9879.0,,,
E05011444,12574.0,,,
E05011445,16252.0,,,
E05011446,10167.0,,,
E05011447,10665.0,,,
E05011448,11415.0,,,
E05011449,10878.0,,,
E05011450,10640.0,,,
E05011451,9965.0,,,
E05011452,9344.0,,,
E05011453,18192.0,,,
E05011454,10448.0,,,
E05011455,13964.0,,,
E05011456,11259.0,,,
E05011457,11175.0,,,
E05011458,11866.0,,,
E05011459,11699.0,,,
E05011460,11013.0,,,
E05011461,13417.0,,,
E05013270,,,,
E05013271,,,,
E05013862,,,,
E05013863,,,,
E06000057,321558.0,13562.0,9849.0,15040.0
E08000021,298264.0,18138.0,10683.0,28488.0
E08000022,209151.0,9239.0,7188.0,8857.0
E47000011,828973.0,,,
